activity,review,rating
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"親子3世代女子旅でお世話になりました。
娘の希望でライフジャケット着用で一本竿で船を操る体験もさせて頂きました！水上にいる鴨への餌やり体験。水上コンビニでみたらし団子、甘酒を買うこともできました。
　渡月橋雑学を交えた船頭さんとの会話がとても楽しくあっという間の1時間でした。
　厚めの座布団に膝掛けまで貸していただけたのでゆっくりと過ごせました。貸切ならではの贅沢をさせていただきました。
　ベルトラさんのこのプランで予約を取れて本当にラッキーでした。",5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"風もなく天気最高で屋形船の上から嵐山
の景色を堪能しました。
船頭さんも親切にユーモアを交えながら周囲の景色を説明して頂きました。
貸し切りなので自分たちで持ち込んだお昼を食べながら優雅なひとときを過ごしました。",5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"雨が降りそうなあいにくのお天気で、キャンセルしようかと悩みながら利用させて貰ったのですが、とても楽しく思った以上に素敵な時間が過ごせました。
予約時間より早く伺ったにもかかわらず、すぐに対応してくださいました。
船の上では、番頭さんが景色や京都についていろいろなお話をしてくれ、写真を撮ってくれたりしました。又船のお店が途中で来て横付けをし、おでんや団子、ビールなどが買え、飲んだり食べたり笑ったり、カモに餌をあげたりと、とても楽しかったです。
I時間も貸切でどうかなと思いましたが、本当にあっという間で、今度は紅葉の時期に乗ってみたいなと思いました。
",5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"気候にも助けられて楽しい舟遊びとなりました。船頭の方の技術も確か
でしたし、明るく気さくに話してくれたり、友人の希望通りに舟を進めてくれたりしました。売店船が寄ってきたのもいい匂いがして楽しかったです。その後すぐにランチの予定があったので買えなかったがみたらし団子を買いたかった・・・残念。",5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,今回初めてベルトラさんで予約、直前にもメールを頂き丁寧に対応して頂きました。当日は快晴。紅葉のピークで最高のシチュエーションの中、船頭さんの優しく穏やかな対応に同行の友人達も感動し、とても優雅で幸せな非日常を味わう事ができました。ありがとうございました！,5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"Our family of 4 very much enjoyed learning at the Kuge Crafts workshop.  Wonderful teachers, very clearly explained, fun experience with special keepsake.  ",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"I had been searching for an authentic artistic experience in Tokyo that felt like it wasn’t just created for tourists. This class fit the bill perfectly, and Yoshiko and Yoshiichiro Kuge were wonderful instructors. They have been running a ceramics studio for over 50 years and teaching the art of kintsugi for 40 years. They have full, months-long apprenticeships but also do one-day workshops as an introduction. We learned a lot in their tiny studio, and our college-age artist plans to continue the practice at home. Our hosts even gave us a shopping list for supplies! (The supplies were available locally at Hands department store in Shinjuku and elsewhere.)

The afternoon was relaxed, including tea and snacks provided by our hosts. They wrapped our creations securely in plastic containers to take home. The tea cups we repaired are food safe too, which I saw is not the case for other classes. 

I highly recommend this experience. It was truly a highlight of our trip!",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,Great teachers and unique experience. Highly recommend!,5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,It was such a special experience to spend a few hours with the owners of KUGE studio. They are both pottery artists and took the time to teach us to create our own kintsugi teacup as well as give us an overview about this traditional art form. Not only was it a meditative art experience but it was so special to connect with these two lovely people. It was one of the best afternoons I spent in Tokyo and I strongly recommend booking this class. ,5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,The Kuge’s are clearly very accomplished in the skills and the art of kintsugi. They are wonderful hosts who were very willing to share their knowledge and experience and help us create a unique kintsugi piece. Will definitely try to do another session with them when we come back to Tokyo!,5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,We had such a wonderful time learning kintsugi! The detail and time this lovely couple takes to teach you the craft is so personal. I will forever treasure the experience. ,5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"初めて金継ぎを体験しました。
GoogleマップでKuge Craftを見つけて、あたたかくて落ち着いた雰囲気が気に入りました。
オーナーご夫婦はとても優しく、親切で、丁寧に教えてくださいました。

猫用の小さなお皿を持って行ったのですが、それだけでなく湯のみも直すことができました。
今は全部うちで大切に使っています！

グループの人数も少なくて、ゆったり楽しめました。
車の方には、お店のすぐ横に駐車スペースもあります。

またぜひ行きたいです！",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"We had a great time in this studio during the rainstorm, and came home with amazing souvenirs!",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"J'ai pu pour la première fois réparer et décorer un petit bol ébréché entièrement seule grâce au très bon conseils du professeur. Ambiance familiale,Petit groupe nous étions quatre.
Café et gâteau servis à l'arrivée. 
J'ai adoré et conseille vivement cet atelier.",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"We had an absolutely delightful time at the kintsugi class.  The hosts were exceptionally kind and friendly.  The class was interesting and time flew by.  We all left with our own piece restored pottery.  A wonderful way to spend some time doing something interest with such nice and thoughtful people.  As tourists it sometimes seems so rare to have an opportunity to interact with people in this way.

(The class is also very easy to get to by train.)",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,This is a must stop for anyone who desires an authentic Tokyo experience. The hosts are not only talented but so welcoming. Where else would you get homemade cake and 40 years of artistic expression? This is not an experience my family will soon forget.,5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"We had a great time at the kitsugi workshop where we not only learned exactly how to use the tools and create the art but also where we can get supplies to apply our learnings at home. 

Wholeheartedly recommend to take 3 hours out of your time in Tokyo to do this. ",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,The thrill of repairing an Edo period piece of pottery is indescribable. Yoshiko Kuge gently guided us through the process (after welcoming us with a pasty and tea). ,5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"The kintsugi workshop with Yoshiko and Yochiichiro was one of the top highlights of our trip to Japan. They were so warm, kind and welcoming. ",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"This was such a wonderful experience! Yoshiichiro and Yoshiko were so kind and informative. They taught us about the entire kintsugi process and its history. They also gave us all the information we needed to fix our own ceramics when we get home. If you want an unforgettable experience and a one of a kind souvenir, don’t miss Kuge Crafts! The snacks were wonderful too :)  ",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"The workshop is great, we learned a lot of things. It was my second time coming after 2018 and it is still wonderful. Thanks !",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"We loved our visit to Kuge Crafts! The hosts were super lovely, enthusiastic to share their craft with us, willing to answer questions, and provided lots of beautiful examples of kintsugi to guide our creation process. If you go for a 1-day class, you will only have time to repair small chips in cups, rather than full cracks, as these take time to dry. You will have plenty of time to paint your piece, however, with gold accents!",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"This was a fantastic experience. The owner and her husband made us feel very welcome and provided excellent tuition. The tea and sweet treats were delicious.

It was very clear that they were exceptionally talented, and the craftsmanship on display was incredible! 

We feel very inspired to continue Kintsugi at home and plan on breaking many plates!",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"This kintsugi class was one of the first things we did in Japan, and yet it was one of our favorite activities over our two-week trip!

Yoshiko and Yoshiichiro are welcoming, patient, knowledgable and talented instructors. We learned about the art of kintsugi and its history, snacked on delicious tea and snacks, and were guided through producing lovely pieces that we'll enjoy for years to come. Furthermore, we had great conversations (English is not an issue) and lots of laughs. 

Very short walk from the bus stop as well. Would highly recommend! Thank you Yoshiko and Yoshiichiro!

",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,The craft of repairing broken pottery is beautiful and fun to experience first hand.  Our hosts were lovely!   Informative and welcoming.  A highlight of our stay in Tokyo!,5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"Our experience was great!

We started off with a homemade dessert treat, and Yoshiichiro and Yoshiko were lovely. They patiently walked us through the process of creating our own pieces, and gave us information on equipment to purchase here in Japan in order to do kintsugi back home.

Overall a lovely way to have a personalized souvenir and learn more about the art of Kintsugi.",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"This was one of the best experiences of our trip!! Yoshiko and Yoshiichiro were wonderful hosts, thank you so much! Highly recommend! Makes me want to start my own kintsugi workshop in London! ",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,We thoroughly enjoyed our kintsugi lesson with Kuge Crafts.  In a snug little studio our class of four students were charmed by the instructor husband and wife team.  The lesson was well planned and timed. We chose our small nicked vessels from  an array of antique cups and immediately set about repairing and decorating them with golden lacquer. The results were so pleasing. and well-packed for travel home.,5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"My 80 year old father was just going to humor me, but the lovely couple who run Kuge crafts won him over instantly. They were just wonderful and so willing to share their love of kintsugi. We were greeted with beautiful snacks and tea and were able to pick our item from a selection. We were then told how old our items were. Ours were from the Edo period. We got right to work repairing the miniature chips, it’s a beginner class! Our cups turned out so beautiful and my father surprisingly got very into decorating his! He said it was his favorite activity we’d done in our two week trip. I can’t wait to come back for another visit! They also gave us a very helpful list of all the items needed to do this at home. I was able to get everything at Hands and can’t wait to attempt this again. 
Thank you so much for such a lovely afternoon!",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"I spent a lovely couple of hours learning about and trying my hand at kintsugi with Yoshiichiro and Yoshiko. They make quite a team! 

We received snacks to start and tea throughout. We choose from among a dozen chipped cups to repair and then walked through the process at a leisurely pace. They sent us home with enough information (plus a tiny custom brush) to try repairs at home. 

Kintsugi can be a much more creative craft than I realized. I highly recommend this class for both the interaction Y. and Y. and the activity.",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,My daughter and I had the best time doing this! So personalized and it was just us! We loved it and the tea and sweets are served us! We thoroughly enjoyed ourselves,5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,What a wonderful experience the kintsugi introduction workshop was! Getting away from the intense Tokyo city vibes into this cozy and quiet workshop. Wonderful couple instructed the art of kintsugi with great patience. It was a very soothing experience! Would love to come back ❤️,5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"My friends and I had a fabulous Kintsugi workshop with Kuge Crafts. Communication in English was possible through the talented Mrs. Yoshiko who is amazingly self taught. The experience was so much fun and included tea with snacks, an introduction about the art of Kintsugi and a great souvenir to bring home. ",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"My partner and I were excited to engage in a traditional activity during our trip to Japan. We stumbled on Kuge Crafts on a prominent publication and decided to book, and we were not disappointed. The owners, who have been practising this craft for 40+ years, welcomed us into their home with tea and Japanese treats. The class was an intimate one, with only 4 people at a time, allowing for a more personal experience and ability to ask lots of questions and get a hands on experience. The activity was not rushed, the ceramics provided were very interesting and antique, and they even provided proper packaging to survive the trip home! ",5
Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"I enjoyed a delightful afternoon with Yoshiichiro and Yoshiko in their studio. They were so welcoming, treating us to delicious tea and cake as the Kintsugi workshop started. They were extremely helpful, showing us how to do each step but ensuring that we actually did our own project. They also provided detailed information on the materials we would need to buy in order to do our own Kintsugi repairs at home. I highly recommend this workshop!",5
"Ocean Expo Churaumi Fireworks Festival Tickets (July 4, 2026)",WOW!!! it was an unforgettable night at the fireworks festival! The crowd was buzzing with excitement and the atmosphere was electric! Can't wait to be back next year!,5
"Ocean Expo Churaumi Fireworks Festival Tickets (July 4, 2026)","Well-managed and planned. We had no trouble securing a carpark spot and staff were extremely helpful, guiding everyone to the shuttle bus area. Will be back next year!",5
"Ocean Expo Churaumi Fireworks Festival Tickets (July 4, 2026)",This is such a great experience! I love how the fireworks and music synchronize. It's so fun to watch and I highly recommend watching this with family and also with friends. Definitely worth it.,5
"Ocean Expo Churaumi Fireworks Festival Tickets (July 4, 2026)","Great,excellent!I will definitely be there with my family to enjoy the fireworks again ",5
"Ocean Expo Churaumi Fireworks Festival Tickets (July 4, 2026)","Great fireworks display, together with the music really a great experience. If you were standing behind the marked seated area standing and using tripods higher than 1m was ok, inside the marked area inside the paid area anything above 1m was asked to lay down so everybody can have a great view. 
Facilities on the beach (toilets and food) were plenty. The food was okay, not bad but nothing outstanding, definitely festival prices. Everything was smoothly organized except the cars leaving the parking lots. The traffic jam afterwards was INCREDIBLE. After around 40 minutes in which we moved roughly 150m we decided to turn back and used smaller roads the navigation didn’t suggest, brought us out within 10 minutes.

Conclusion: Fireworks and music were GREAT! Food was ok, bring your own if you want to be sure what you get and a reasonable price. When leaving the parking follow all traffic rules but don’t rely on navigation from phones or the car, use a map and check streets. Be prepared for mobile internet being VERY slow on the event area, the infrastructure apparently isn’t made for so many people.",4
"Ocean Expo Churaumi Fireworks Festival Tickets (July 4, 2026)",煙火精彩 人流也可以接受 也不會太擠擁  表現節奏好好 。                       ,5
"Ocean Expo Churaumi Fireworks Festival Tickets (July 4, 2026)","The venue was great. They did a great job organizing the seating. My goodness though, the show was horrible. There were many 30+ second periods throughout the show with no fireworks. It was so awkward. I left after 20 minutes to beat the traffic. ",2
Traditional Yakatabune River Cruise with Lunch or Dinner in Tokyo,"両親の傘寿祝でランチコースを7名で予約。
お料理全て美味しく、揚げたての天ぷらも最高でした!
隅田川の見どころ満載で、船内の説明も楽しかったです♪
お台場の噴水ショーに合わせて、停泊してくれ写真も沢山撮れました。
デザートには花火を添えてくれ、バースデーのサービスまでして頂き大喜びの両親でした。
また利用したいです！ありがとうございました。",5
Traditional Yakatabune River Cruise with Lunch or Dinner in Tokyo,お料理は期待以上に美味しかったです。特に天ぷらは揚げたて、しかもエビも魚も野菜もビッグサイズ。飲み放題の追加もすぐに対応して頂けて、最高でした。途中で写真タイムもあり、デッキ上からゆっくりたくさん写真も撮れました。異国に旅行にきている気分で、参加して本当によかったです。,5
Traditional Yakatabune River Cruise with Lunch or Dinner in Tokyo,"とても一生に一度の思い出に残る旅。
2回くらい撮影スポットで船停止し、
上のデッキへ昇り、10分〜15分くらい撮影できる時間は最高ですね！
様々な外人さんがいて、お互い言葉がわからないですが、写真を撮りあいしたのも、なぜかほっこり、世界平和を感じました。
さすがJapan。
最後にsurprisecakeでみんなから彼女へ
大合唱でhappy birthday song！！
もう最高です。
後ろの外人さんから、ろうそく5本みて
five year？？笑笑
5歳？ってのも、いい面白いエピソードです！
そんな彼に最後の最後にもhappy birthday！！と改めてgoodポーズと
僕にも肩を叩いて励ましてくれて、世界平和に感動致しました。この度最高の思い出の時間をありがとうございました。
一生に一度あるか、ないかの屋形船ツアー、
釣新に出逢えて嬉しく思います。
絶対みなさん屋形船のるべきです！！",5
Traditional Yakatabune River Cruise with Lunch or Dinner in Tokyo,"La nourriture était excellente, on a pu goûter à plein de spécialités locales; sashimi, crevettes et poisson en tempura....L'anguille était hyper bonne. Les desserts (mochi) délicieux et entraient quand même malgré le fait que nous étions vraiment repues. Le parcours de nuit était parfait. Allez-y sans hésiter.",5
Traditional Yakatabune River Cruise with Lunch or Dinner in Tokyo,「古希ツアー」で仲間５人で参加しました。素晴らしい夜景を見ながら、料理もカニや刺身の舟盛り、揚げたての熱々天ぷらを順番にお皿に置いてもらえて、大満足でした。飲み放題のお酒もすすみ、ステキな夜を満喫できました。,5
Traditional Yakatabune River Cruise with Lunch or Dinner in Tokyo,家族4人で、楽しい時間を過ごす事が出来ました。従業員の方々は皆さん明るく、親切で心地よいひと時を頂くことが出来ました。,5
Traditional Yakatabune River Cruise with Lunch or Dinner in Tokyo,"東京滞在中の昼間に時間がある旅程だったので、こちらの昼の乗合船を利用してみました。
船宿で乗船手続きをしてチケットもらって、道路を渡った川岸からの乗船です。
履物は船内に入る前に脱いで、テーブルに予約者名が書かれた札が置いてあるのでそこに着席です。

椅子とテーブルなので、脚の負担も少なくて良かったです。
テーブルには予約したコースごとのお造りや料理、瓶ビールが準備されており、出航と同時に飲食が開始されます。

ドリンクは飲み放題で、スタッフの人にリクエストすると直ぐに持ってきてもらえます。
船中では女将さんがマイク片手にレインボーブリッジや川沿いの建物や橋の説明をしてくれます。

また揚げたての天ぷらをその都度提供してくれるので、サクサクのアツアツな天ぷらを食べながら遊覧できます。

桜が見れなかったので、お台場で停泊して外に出て記念撮影したりした後に、スカイツリー方面へと上流へ上っていきます。

天ぷらの提供が終わると炊き立てのアサリ飯と味噌汁、最後に甘味デザートをいただきました。

トイレは前方に一か所あるので利用できます。
機会があれば夜の部も体験したいと思いました。

",5
Traditional Yakatabune River Cruise with Lunch or Dinner in Tokyo,"東京生まれで東京育ちの私たちでも色々な橋を見れて良かったです。
学生時代に毎日通った橋を下から見ることが出来て、大興奮でした。",5
Traditional Yakatabune River Cruise with Lunch or Dinner in Tokyo,"母の誕生日お祝いで利用しました！
ケーキもお料理も美味しいし🤤
船からの夜景は最高で素晴らしい日でした。",5
Traditional Yakatabune River Cruise with Lunch or Dinner in Tokyo,"家族の誕生日で利用させていただきました。一度行ってみたいという願いから今回利用して初めてではありましたが料理の美味しさや雰囲気の良さ、そして店員さんの温かさにとても感動しました。
ちょっとハプニングはありましたがサプライズでバースデーケーキも準備していただきとても良い誕生日会ができました。本当にありがとうございました。",5
